0,1,2,3,4,5,6,7,8,9
IMAR,AVER,CTON,AGIR,MSTI,OCAL,CSHH,ICHL,CMOD,
OPAT,CPRD,GRIC,AGRN,AML2,OHIG,SANP,AHAV,STAB,
NHOH,MCYC,PBRK,MATN,NRAI,WSMI,ATAI,CBNL,MBCB,
ADON,WMDW,AJES,CCDP,FLWR,OTID,CTRM,OUMA,XBLR,
CSCN,NWHI,CLTU,ATKL,APRE,WDOD,WFAI,AUCR,TLUF,
AMUS,CSNR,WWAU,BKTL,AJBE,CPRT,CLDR,WORO,MSUA,
HPHE,CMOR,HUSG,NDEA,TARA,MSTO,WGDE,AHAI,NGRF,
CCRE,VPRW,CHEL,WTEE,CWLS,FCHE,ATOK,CFIV,NBAR,
MCWC,CSAN,XMOU,CBRI,OHAR,MGLE,MMEA,CBLA,BUCF,
CRDR,AOLA,CMRQ,CSPK,NFAI,ITAY,VHIL,NSTO,ONOB,
JCOY,NWSB,OYLP,AINI,CWWR,ARAG,MCTM,GBRE,TGUA,
ASTO,AELL,TCHE,BRUN,MSUS,ASWA,ACHR,MSFJ,BUES,
WECH,MKNO,ASSL,AODE,WETT,LBAR,MWIN,ACTU,OLMC,
CCHE,SHUR,PWOL,CBLM,IROC,WEGL,TATT,VAUG,CQUA,
IPCK,WSOD,TMCK,CART,CBIG,HSCO,MSCX,FINL,IMHO,
CCHS,MEUR,WHAY,MBST,WSTH,OCHL,CVIS,HENR,OBOU,
MYEL,VWIS,PCWP,ANOO,MSQU,MBLH,TCHU,NSND,AHOO,
MKET,ATSK,ABOX,ANOA,PQUA,MRAG,CCOY,HLAN,WHUM,
NCRO,CKLA,COPS,OEDE,CBIR,OWAS,CDIN,WCLA,CGUN,
CSIM,ABNS,MTRO,AGRZ,OONI,MRAC,NCHE,CBUK,NUWH,
IIND,OROB,CCHH,NKAN,ABEL,KTRI,WNCS,APLE,TCDD,
HAHU,TTEM,OMID,SWIT,TSN2,MWIC,WPRD,WALD,OBRI,
OWIL,UBCS,ASTU,CCOU,WNEC,SNEM,IPRL,KYEL,WPHE,
MPHL,CCSX,ASOL,VELK,NPAN,WWOO,CRTL,THEN,AUAM,
CALT,ATUS,MBCI,CATL,CWHH,NBEA,ASHE,CWWO,ATTA,
MPIS,OBLA,NSTA,WSAW,WDIA,KALP,MCOV,CBLU,CSOM,
TLEW,CLFL,FLAK,ICRS,CSRE,SAND,NRAV,AASI,AEAG,
XMAG,XSFW,MSOD,WSHA,OEAG,CANZ,WOFA,AHOR,CMET,
CHOM,ILBK,CGOO,TBLE,CLPK,CFMI,CDRA,WCAB,CBVR,
