OBJECTID,elevation
89962,961.0
89964,60.0
89978,2106.0
89986,155.0
90022,136.0
90027,79.0
90055,226.0
90155,119.0
90179,294.0
90181,374.0
90200,239.0
90219,151.0
90289,1568.0
90290,318.0
90306,89.0
90321,2497.0
90323,335.0
90336,107.0
90339,105.0
90351,146.0
90367,106.0
90369,421.0
90381,1397.0
90400,35.0
90425,42.0
90432,150.0
90456,78.0
90458,1053.0
90461,109.0
90473,344.0
90498,377.0
90507,1316.0
90555,2572.0
90569,101.0
90575,108.0
90606,158.0
90611,119.0
90615,1337.0
90629,368.0
90653,673.0
90664,2198.0
90666,273.0
90677,135.0
90684,369.0
90715,2227.0
90778,2538.0
90786,323.0
90787,2872.0
90804,33.0
90864,1848.0
90865,134.0
90890,144.0
90928,1130.0
90936,705.0
90938,108.0
90983,6.0
91002,1176.0
91036,78.0
91039,717.0
91077,1523.0
91081,110.0
91085,1729.0
91104,108.0
91164,236.0
91180,110.0
91192,531.0
91198,222.0
91214,1721.0
91237,1653.0
91273,345.0
91332,114.0
91351,61.0
91373,329.0
91378,277.0
91403,153.0
91432,99.0
91453,147.0
91458,310.0
91477,93.0
91481,53.0
91497,65.0
91521,142.0
91528,1487.0
91541,1437.0
91547,148.0
91548,1060.0
91586,1850.0
91620,1180.0
91641,804.0
91658,113.0
91673,580.0
91706,43.0
91708,169.0
91732,456.0
91734,575.0
91756,2137.0
91758,115.0
91782,281.0
91817,135.0
91842,152.0
91871,331.0
91901,89.0
91975,99.0
92002,116.0
92017,74.0
92029,169.0
92063,1062.0
92067,452.0
92114,120.0
92127,87.0
92142,1615.0
92204,477.0
92210,146.0
92214,893.0
92234,1594.0
92249,150.0
92279,699.0
92282,980.0
92294,378.0
92297,135.0
92331,109.0
92359,2723.0
92360,120.0
92379,206.0
92425,116.0
92520,1088.0
92548,1070.0
92579,94.0
92592,315.0
92594,2277.0
92595,87.0
92597,553.0
92632,996.0
92644,30.0
92746,1682.0
92753,134.0
92754,70.0
92756,359.0
92772,800.0
92801,291.0
92831,97.0
92851,1632.0
92884,2649.0
92900,118.0
92903,590.0
92984,2002.0
93013,1882.0
93033,95.0
93066,1584.0
93082,69.0
93084,98.0
93112,67.0
93148,122.0
93156,2892.0
93184,560.0
93220,78.0
93225,591.0
93243,1930.0
93247,277.0
93301,108.0
93349,517.0
93350,1273.0
93354,452.0
93367,452.0
93369,298.0
93375,766.0
93376,1409.0
93394,34.0
93409,228.0
93416,1284.0
93426,97.0
93467,455.0
93476,1404.0
93521,958.0
93532,2149.0
93533,216.0
93600,921.0
93618,1335.0
93635,2062.0
93649,1456.0
93764,1116.0
93775,147.0
93782,99.0
93786,29.0
93815,1316.0
93818,324.0
93842,536.0
93850,71.0
93859,106.0
93868,1987.0
93909,2121.0
93930,87.0
93944,888.0
93948,128.0
93949,836.0
93951,1993.0
93984,2080.0
94002,425.0
94014,124.0
94018,1934.0
94019,202.0
94022,1163.0
94053,698.0
94081,818.0
94101,486.0
94117,1321.0
94157,360.0
94169,215.0
94202,139.0
94214,119.0
94225,2018.0
94292,97.0
94309,143.0
94355,299.0
94371,88.0
94374,1047.0
94385,138.0
94390,1648.0
94416,163.0
94419,111.0
94430,87.0
94441,1588.0
94455,2243.0
